sn,mb,dm15,color,MB,z
sn1996bl,16.7535964284936,0.781257622270324,-0.028873577391615,-19.18435651175554,0.036
sn2000cn,16.5975801043611,1.53840225852418,0.067097311015708,-18.393407767846057,0.023493
sn2005ms,16.1625395479411,0.7449462734848,-0.045582241186217,-18.98388097911097,0.025204
sn2006sr,16.1856308142764,1.10581800182176,,-18.865402172817305,0.02414
sn2005eq,16.3305786060411,0.805471076415465,0.057735871118467,-19.124862358359742,0.028977
sn2007qe,16.024672280258,0.960602003413804,0.0015172197477329994,-19.0135032133434,0.024
sn2005iq,16.7536717170023,1.27222724343735,-0.128239572522965,-19.05984532220697,0.034044
sn2002ha,14.7352220402171,1.32115508681667,-0.071074363035351,-19.123374040796744,0.014046000000000001
sn2001bt,15.310182070523698,1.21867966724205,0.147085147602304,-18.63933466111831,0.01464
sn2006ob,18.2394871643335,1.7153827894443798,-0.025409097095583,-18.816425548862195,0.059238
sn2007bd,16.572471053145097,1.20692105518184,-0.045229160763313,-19.034057929334583,0.031018
sn1992bo,15.7725591162762,1.64784341093245,-0.018371649281271,-18.692520133129065,0.018509
sn2006ax,14.999527214632401,1.01991623541666,-0.1137756694365,-19.24425147339946,0.016738
sn2006bt,16.9550594063535,0.9531280999591372,0.08784141140000701,-18.731538735619665,0.032156
sn2006mp,15.983368797858699,,0.016641005570328,-18.96230030609446,0.023016
sn2007f,15.8758941096703,0.9261679373209192,-0.038744092959405,-19.12419873271785,0.02359
sn2006gr,16.988603137437,0.924972570691168,0.06525714152009299,-18.860787972990767,0.034597
sn1999aw,16.750153607063698,0.731165392309755,-0.036733378441653,-19.308392248673673,0.038
sn2006az,16.4839449204878,1.27519488562084,-0.097471070020056,-19.11663226028997,0.030935
sn2005el,14.901120783254099,1.34717396327427,-0.028638400253833,-19.08852331184461,0.01491
sn2002de,16.6732693099588,,0.14000014193234,-18.715283007249294,0.028116000000000002
sn2007ci,15.933645896015301,1.7342473935597802,0.0035998669851340006,-18.485401155867088,0.018126
sn1999ao,17.956756524821802,1.37980827525715,0.016853419200253,-18.88582866036135,0.0539
sn2002he,16.3503839407637,1.3897952709020502,0.127493919536974,-18.739146492840263,0.024564
sn2006bh,14.3560130616929,1.46557959152849,-0.05916849030220599,-18.94675500590717,0.0109
sn2006qo,16.8409162104383,1.02394067442201,0.17127335304390806,-18.669503979390512,0.029704
sn1997do,14.329243099351899,1.12494138549807,0.001372057262479,-18.811002752250253,0.01012
sn2004gs,17.1528218036128,1.6246281670855,0.095060909739651,-18.12123063631807,0.0267
sn1999dk,14.8543572141739,1.11522209835899,0.038628740579874,-19.142638932260795,0.01496
sn1995ac,17.1077505159589,0.7017852394276289,-0.09261526757313697,-19.561245174360078,0.049901999999999995
sn2007cq,15.874360904020698,1.12100975294605,0.004729241345216999,-19.33387677076648,0.025918
sn1999bp,18.3935317067217,1.03906801683363,-0.1079087039288,-19.258896268337683,0.077
sn1990af,17.8039076086193,1.54606281081909,,-18.88296060014954,0.0503
sn2006cp,15.9663854282096,0.830354668760727,0.019880532379482,-18.908404180748285,0.022289
sn2004ey,14.761791229640501,0.988429461680099,-0.117019257983159,-19.355214135403678,0.0158
sn2007co,16.4734526247491,1.12380930460451,0.01961138492301,-18.82222782672362,0.026962
sn2006an,18.2742965292363,1.51685622928473,0.152981530853431,-18.956873187337873,0.064001
sn2005na,15.978209500743501,0.9173425622358948,-0.13544053908481898,-19.26426933831648,0.026322
sn2007bc,15.873503467950098,1.2102595163826202,-0.09440368629398,-18.845645677526523,0.020771
sn2006s,16.8191488204107,0.962036974054492,0.030079129747634,-18.863712999754302,0.032102
sn2005lz,17.613804441120102,1.4006799517823898,0.04355009901122,-18.614397415620623,0.040998
sn2004eo,15.132923886121302,1.3789273240758702,0.031556060146677,-18.970269851577257,0.015701
sn2003u,16.6272705755404,,-0.026485472899672003,-18.77895312325017,0.028341
sn2008bf,15.7556285478584,1.04411665461966,0.049256864820237,-19.01640362041853,0.021275
sn2001cz,15.1073192040151,0.954237057177622,0.100017280384598,-18.950491741230508,0.015380000000000001
sn1998ab,16.2147993422711,1.17793054749055,0.034300534795200004,-19.094804525002928,0.027132
sn2006ar,16.4240522979757,,0.054814084149882,-18.47536461776989,0.022539
