time	flux	flux_err	mag	mag_err	zp	band
52876.5	0.0	0.0			-20.846	Megacam_g
52876.6	0.0	0.0			-20.846	Megacam_g
52876.7	0.0	0.0			-20.846	Megacam_g
52876.8	0.0	0.0			-20.846	Megacam_g
52876.9	0.0	0.0			-20.846	Megacam_g
52877.0	0.0	0.0			-20.846	Megacam_g
52877.1	0.0	0.0			-20.846	Megacam_g
52877.2	0.0	0.0			-20.846	Megacam_g
52877.3	0.0	0.0			-20.846	Megacam_g
52877.4	0.0	0.0			-20.846	Megacam_g
52877.5	0.0	0.0			-20.846	Megacam_g
52877.6	0.0	0.0			-20.846	Megacam_g
52877.7	0.0	0.0			-20.846	Megacam_g
52877.8	0.0	0.0			-20.846	Megacam_g
52877.9	-3.4762760977088964e-23	-3.726088757420221e-24			-20.846	Megacam_g
52878.0	-7.891550414029837e-23	-8.447525113356775e-24			-20.846	Megacam_g
52878.1	-1.159214296532894e-22	-1.239230575541582e-23			-20.846	Megacam_g
52878.2	-1.456362948814341e-22	-1.5547915900581772e-23			-20.846	Megacam_g
52878.3	-1.679515093330161e-22	-1.7905790432140042e-23			-20.846	Megacam_g
52878.4	-1.8280823327623258e-22	-1.9462791836849275e-23			-20.846	Megacam_g
52878.5	-1.902115183638858e-22	-2.0222679213017988e-23			-20.846	Megacam_g
52878.6	-1.902443241842206e-22	-2.0197550183980137e-23			-20.846	Megacam_g
52878.7	-1.8308156368368677e-22	-1.9409271562790513e-23			-20.846	Megacam_g
52878.8	-1.6900408503310124e-22	-1.7890888445755064e-23			-20.846	Megacam_g
52878.9	-1.4841262243780504e-22	-1.568801472127851e-23			-20.846	Megacam_g
52879.0	-1.2184172808955824e-22	-1.2860205789310447e-23			-20.846	Megacam_g
52879.1	-8.997367007902219e-23	-9.482311376779641e-24			-20.846	Megacam_g
52879.2	-5.365232152108235e-23	-5.645810599120515e-24			-20.846	Megacam_g
52879.3	-1.3896994288138847e-23	-1.4601238265765805e-24			-20.846	Megacam_g
52879.4	2.8083934919028534e-23	2.946115119783071e-24	35.533	0.114	-20.846	Megacam_g
52879.5	7.088795687890065e-23	7.42470141702253e-24	34.528	0.114	-20.846	Megacam_g
52879.6	1.1294893904218678e-22	1.1811232262896413e-23	34.022	0.114	-20.846	Megacam_g
52879.7	1.5259486224962494e-22	1.5931296999802863e-23	33.695	0.113	-20.846	Megacam_g
52879.8	1.8810875396153007e-22	1.960694599062956e-23	33.468	0.113	-20.846	Megacam_g
52879.9	2.1778939713701854e-22	2.266307634996597e-23	33.309	0.113	-20.846	Megacam_g
52880.0	2.4001183068098837e-22	2.4933734229607138e-23	33.204	0.113	-20.846	Megacam_g
52880.1	2.53287608912816e-22	2.6268328274682847e-23	33.145	0.113	-20.846	Megacam_g
52880.2	2.563248946878714e-22	2.653775997453493e-23	33.132	0.112	-20.846	Megacam_g
52880.3	2.480883310985821e-22	2.5640463087037714e-23	33.168	0.112	-20.846	Megacam_g
52880.4	2.2785873561171597e-22	2.3508354564991705e-23	33.26	0.112	-20.846	Megacam_g
52880.5	1.9529263230634984e-22	2.0112696411759904e-23	33.428	0.112	-20.846	Megacam_g
52880.6	1.5048158390213373e-22	1.546986228556292e-23	33.711	0.112	-20.846	Megacam_g
52880.7	9.401140102280737e-23	9.647014570982186e-24	34.221	0.111	-20.846	Megacam_g
52880.8	2.7021188141247056e-23	2.7676853987740708e-24	35.575	0.111	-20.846	Megacam_g
52880.9	-4.873807443380311e-23	-4.982771471171707e-24			-20.846	Megacam_g
52881.0	-1.3085918240661574e-22	-1.3353265002659505e-23			-20.846	Megacam_g
52881.1	-2.162971076445366e-22	-2.202951183073471e-23			-20.846	Megacam_g
52881.2	-3.0143832694982457e-22	-3.064175606778418e-23			-20.846	Megacam_g
52881.3	-3.821766494834309e-22	-3.87730851811119e-23			-20.846	Megacam_g
52881.4	-4.539886708369579e-22	-4.596763444540544e-23			-20.846	Megacam_g
52881.5	-5.1200890044574e-22	-5.173868232801342e-23			-20.846	Megacam_g
52881.6	-5.511044850265918e-22	-5.557662654601479e-23			-20.846	Megacam_g
52881.7	-5.65949617819565e-22	-5.695684743918561e-23			-20.846	Megacam_g
52881.8	-5.510995898573986e-22	-5.534745170580034e-23			-20.846	Megacam_g
52881.9	-5.010645197244869e-22	-5.0216897624585047e-23			-20.846	Megacam_g
52882.0	-4.1038278497165424e-22	-4.1041501458572833e-23			-20.846	Megacam_g
52882.1	-2.736941324647975e-22	-2.731282007996431e-23			-20.846	Megacam_g
52882.2	-8.581251079950644e-23	-8.544911413666566e-24			-20.846	Megacam_g
52882.3	1.58201392312911e-22	1.5718531798738785e-23	33.656	0.108	-20.846	Megacam_g
52882.4	4.629680349879696e-22	4.5897190346391614e-23	32.49	0.108	-20.846	Megacam_g
52882.5	8.327263640218207e-22	8.236816540175277e-23	31.853	0.107	-20.846	Megacam_g
52882.6	1.271314797973294e-21	1.2546442572628686e-22	31.394	0.107	-20.846	Megacam_g
52882.7	1.7821897369642666e-21	1.754769868300581e-22	31.027	0.107	-20.846	Megacam_g
52882.8	2.3684493541255065e-21	2.326575953660366e-22	30.718	0.107	-20.846	Megacam_g
52882.9	3.032857278859222e-21	2.972213813439881e-22	30.45	0.106	-20.846	Megacam_g
52883.0	3.777866104099794e-21	3.6934947080772897e-22	30.211	0.106	-20.846	Megacam_g
52883.1	4.605640761052784e-21	4.491915625916212e-22	29.996	0.106	-20.846	Megacam_g
52883.2	5.518081749728855e-21	5.368684673157338e-22	29.8	0.106	-20.846	Megacam_g
52883.3	6.51684821457964e-21	6.324746068886274e-22	29.619	0.105	-20.846	Megacam_g
52883.4	7.603380899060634e-21	7.360804771091391e-22	29.452	0.105	-20.846	Megacam_g
52883.5	8.778924950072139e-21	8.47735069813688e-22	29.296	0.105	-20.846	Megacam_g
52883.6	1.0044552611605525e-20	9.674682576498365e-22	29.149	0.105	-20.846	Megacam_g
52883.7	1.1401185760071224e-20	1.095293136127859e-21	29.012	0.104	-20.846	Megacam_g
52883.8	1.2849618350472267e-20	1.2312083288691968e-21	28.882	0.104	-20.846	Megacam_g
52883.9	1.4390538706085884e-20	1.3752002487799627e-21	28.759	0.104	-20.846	Megacam_g
52884.0	1.6024549987602068e-20	1.5272451558284755e-21	28.642	0.103	-20.846	Megacam_g
52884.1	1.775218209068762e-20	1.687310372034709e-21	28.531	0.103	-20.846	Megacam_g
52884.2	1.9573895685525214e-20	1.8553547360181476e-21	28.425	0.103	-20.846	Megacam_g
52884.3	2.1490085042123332e-20	2.0313289390458893e-21	28.324	0.103	-20.846	Megacam_g
52884.4	2.3501080801342828e-20	2.2151758540187956e-21	28.227	0.102	-20.846	Megacam_g
52884.5	2.5607152753632755e-20	2.406830863227791e-21	28.133	0.102	-20.846	Megacam_g
52884.6	2.780851257332939e-20	2.606222179883146e-21	28.044	0.102	-20.846	Megacam_g
52884.7	3.0105316531958443e-20	2.8132711655943052e-21	27.958	0.101	-20.846	Megacam_g
52884.8	3.2497668206172297e-20	3.0278926452000223e-21	27.875	0.101	-20.846	Megacam_g
52884.9	3.498562117090463e-20	3.2499952179865935e-21	27.795	0.101	-20.846	Megacam_g
52885.0	3.756918164282941e-20	3.47948156199054e-21	27.717	0.101	-20.846	Megacam_g
52885.1	4.0248311131665714e-20	3.7162487366967774e-21	27.642	0.1	-20.846	Megacam_g
52885.2	4.302292907422346e-20	3.960188481706862e-21	27.57	0.1	-20.846	Megacam_g
52885.3	4.589291542839664e-20	4.211187509219248e-21	27.5	0.1	-20.846	Megacam_g
52885.4	4.885811330366981e-20	4.469127797304844e-21	27.432	0.099	-20.846	Megacam_g
52885.5	5.1918333223283775e-20	4.733887029246716e-21	27.366	0.099	-20.846	Megacam_g
52885.6	5.507336637067861e-20	5.0053398437178125e-21	27.302	0.099	-20.846	Megacam_g
52885.7	5.83230064762347e-20	5.283359845765791e-21	27.24	0.098	-20.846	Megacam_g
52885.8	6.166707306008745e-20	5.567821702146031e-21	27.179	0.098	-20.846	Megacam_g
52885.9	6.510543458207864e-20	5.858603186629093e-21	27.12	0.098	-20.846	Megacam_g
52886.0	6.863803150331794e-20	6.155587174677817e-21	27.063	0.097	-20.846	Megacam_g
52886.1	7.226489923192058e-20	6.458663584023432e-21	27.007	0.097	-20.846	Megacam_g
52886.2	7.598619100838102e-20	6.76773126511775e-21	26.952	0.097	-20.846	Megacam_g
52886.3	7.980220067921941e-20	7.082699835819343e-21	26.899	0.096	-20.846	Megacam_g
52886.4	8.371338541182301e-20	7.403491464020745e-21	26.847	0.096	-20.846	Megacam_g
52886.5	8.772038832590827e-20	7.730042594961847e-21	26.797	0.096	-20.846	Megacam_g
52886.6	9.182406106168815e-20	8.062305623957791e-21	26.747	0.095	-20.846	Megacam_g
52886.7	9.602548627361859e-20	8.400250512496132e-21	26.698	0.095	-20.846	Megacam_g
52886.8	1.0032600007817592e-19	8.743866349309559e-21	26.651	0.095	-20.846	Megacam_g
52886.9	1.0472721431721732e-19	9.093162843636543e-21	26.604	0.094	-20.846	Megacam_g
52887.0	1.0923103072526963e-19	9.448171065377288e-21	26.558	0.094	-20.846	Megacam_g
52887.1	1.138396086110741e-19	9.808940141824584e-21	26.514	0.094	-20.846	Megacam_g
52887.2	1.1855528504796814e-19	1.0175529932978353e-20	26.469	0.093	-20.846	Megacam_g
52887.3	1.2338048703183779e-19	1.0548003172900153e-20	26.426	0.093	-20.846	Megacam_g
52887.4	1.2831764397797482e-19	1.0926417813460845e-20	26.384	0.092	-20.846	Megacam_g
52887.5	1.3336910063564525e-19	1.1310819581201667e-20	26.342	0.092	-20.846	Megacam_g
52887.6	1.385370304524881e-19	1.1701234753864757e-20	26.3	0.092	-20.846	Megacam_g
52887.7	1.4382334929052812e-19	1.2097663152083179e-20	26.26	0.091	-20.846	Megacam_g
