time	flux	flux_err	mag	mag_err	zp	band
-20.0	1.3190205227432465e-47	7.677736855517974e-49	96.354	0.063	-20.846	Megacam_g
-19.0	1.3991641505246538e-26	7.849969754551913e-28	43.79	0.061	-20.846	Megacam_g
-18.0	1.3653119204431812e-26	7.345479749803703e-28	43.816	0.058	-20.846	Megacam_g
-17.0	6.644591040806346e-22	3.461673008599887e-23	32.098	0.057	-20.846	Megacam_g
-16.0	3.2459362186814673e-20	1.6027125555889883e-21	27.876	0.054	-20.846	Megacam_g
-15.0	1.094190913291401e-19	5.090180200744682e-21	26.557	0.051	-20.846	Megacam_g
-14.0	2.2864585202020515e-19	9.89027353170402e-21	25.756	0.047	-20.846	Megacam_g
-13.0	3.88189215330165e-19	1.5518279539050048e-20	25.182	0.043	-20.846	Megacam_g
-12.0	5.841376830789656e-19	2.1299971363177155e-20	24.738	0.04	-20.846	Megacam_g
-11.0	8.145530218204205e-19	2.6664383805500613e-20	24.377	0.036	-20.846	Megacam_g
-10.0	1.0842829255851239e-18	3.1268004451275216e-20	24.066	0.031	-20.846	Megacam_g
-9.0	1.3727444045863682e-18	3.4075007412423824e-20	23.81	0.027	-20.846	Megacam_g
-8.0	1.6530597327089868e-18	3.4382879811380876e-20	23.609	0.023	-20.846	Megacam_g
-7.0	1.911167872708249e-18	3.2434716718155865e-20	23.451	0.018	-20.846	Megacam_g
-6.0	2.1443444292992955e-18	2.9186785676979827e-20	23.326	0.015	-20.846	Megacam_g
-5.0	2.3453552370698072e-18	2.583825638226269e-20	23.229	0.012	-20.846	Megacam_g
-4.0	2.5025230139115943e-18	2.3438011995903457e-20	23.158	0.01	-20.846	Megacam_g
-3.0	2.617671716679337e-18	2.2343045786978055e-20	23.109	0.009	-20.846	Megacam_g
-2.0	2.704485755045538e-18	2.2223383727213315e-20	23.074	0.009	-20.846	Megacam_g
-1.0	2.766815343582799e-18	2.2525561631153242e-20	23.049	0.009	-20.846	Megacam_g
0.0	2.8011221693019125e-18	2.2839092795768646e-20	23.036	0.009	-20.846	Megacam_g
1.0	2.8119445306082664e-18	2.3105815859549908e-20	23.032	0.009	-20.846	Megacam_g
2.0	2.800037038266794e-18	2.3332562242605663e-20	23.036	0.009	-20.846	Megacam_g
3.0	2.767517613214965e-18	2.3647488126932195e-20	23.049	0.009	-20.846	Megacam_g
4.0	2.725970762086604e-18	2.4531173751677305e-20	23.065	0.01	-20.846	Megacam_g
5.0	2.6748883801861384e-18	2.6477711050431914e-20	23.086	0.011	-20.846	Megacam_g
6.0	2.6070512645156725e-18	2.954594616921912e-20	23.114	0.012	-20.846	Megacam_g
7.0	2.5251782992015124e-18	3.3135484794950765e-20	23.149	0.014	-20.846	Megacam_g
8.0	2.4333203847815134e-18	3.629615705494404e-20	23.189	0.016	-20.846	Megacam_g
9.0	2.3324830148147053e-18	3.824288622322551e-20	23.235	0.018	-20.846	Megacam_g
10.0	2.2219561359077514e-18	3.854932924083768e-20	23.287	0.019	-20.846	Megacam_g
11.0	2.1039500303215328e-18	3.720071168056677e-20	23.347	0.019	-20.846	Megacam_g
12.0	1.9874083785148987e-18	3.4588137001736445e-20	23.409	0.019	-20.846	Megacam_g
13.0	1.875534833901919e-18	3.119808940652754e-20	23.471	0.018	-20.846	Megacam_g
14.0	1.7679953307864046e-18	2.7535055076615315e-20	23.536	0.017	-20.846	Megacam_g
15.0	1.6601451926880974e-18	2.39380981475843e-20	23.604	0.016	-20.846	Megacam_g
16.0	1.553590040040145e-18	2.1076279009590524e-20	23.676	0.015	-20.846	Megacam_g
17.0	1.4531027029342665e-18	1.9039812084607235e-20	23.749	0.014	-20.846	Megacam_g
18.0	1.3598595503758833e-18	1.7798433521561498e-20	23.821	0.014	-20.846	Megacam_g
19.0	1.2718946483829418e-18	1.714607918104617e-20	23.893	0.015	-20.846	Megacam_g
20.0	1.188190523654027e-18	1.6839492737530553e-20	23.967	0.015	-20.846	Megacam_g
21.0	1.1086999493244438e-18	1.6709541721539883e-20	24.042	0.016	-20.846	Megacam_g
22.0	1.035847971417695e-18	1.6712483267916263e-20	24.116	0.018	-20.846	Megacam_g
23.0	9.698832730880232e-19	1.686961001413013e-20	24.187	0.019	-20.846	Megacam_g
24.0	9.135659004194567e-19	1.7274589722836354e-20	24.252	0.021	-20.846	Megacam_g
25.0	8.621836282080677e-19	1.7833992165045943e-20	24.315	0.022	-20.846	Megacam_g
26.0	8.148199583410208e-19	1.8447126450143e-20	24.377	0.025	-20.846	Megacam_g
27.0	7.701008791985041e-19	1.896235750912079e-20	24.438	0.027	-20.846	Megacam_g
28.0	7.27046484323532e-19	1.925099528527229e-20	24.5	0.029	-20.846	Megacam_g
29.0	6.864610901369629e-19	1.9307732382835433e-20	24.563	0.031	-20.846	Megacam_g
30.0	6.477986556821816e-19	1.9105991199863723e-20	24.626	0.032	-20.846	Megacam_g
31.0	6.114576882334559e-19	1.868545289464438e-20	24.688	0.033	-20.846	Megacam_g
32.0	5.789188361981757e-19	1.8145498693651075e-20	24.748	0.034	-20.846	Megacam_g
33.0	5.481524342865652e-19	1.748993451733772e-20	24.807	0.035	-20.846	Megacam_g
34.0	5.191827230593922e-19	1.6791301392846187e-20	24.866	0.035	-20.846	Megacam_g
35.0	4.920954349232274e-19	1.6123613946117137e-20	24.924	0.036	-20.846	Megacam_g
36.0	4.6569405975348645e-19	1.5508321273673774e-20	24.984	0.036	-20.846	Megacam_g
37.0	4.409975700057021e-19	1.501633224637632e-20	25.043	0.037	-20.846	Megacam_g
38.0	4.1851810882638824e-19	1.467781490806098e-20	25.1	0.038	-20.846	Megacam_g
39.0	3.9831901358719834e-19	1.4486194125070696e-20	25.154	0.039	-20.846	Megacam_g
40.0	3.812319753365186e-19	1.4450835371479715e-20	25.201	0.041	-20.846	Megacam_g
41.0	3.6672468429558805e-19	1.4528273171203578e-20	25.243	0.043	-20.846	Megacam_g
42.0	3.536784555280556e-19	1.4654261353289555e-20	25.283	0.045	-20.846	Megacam_g
43.0	3.4121380148739267e-19	1.481276145350461e-20	25.322	0.047	-20.846	Megacam_g
44.0	3.298039527164242e-19	1.491487242934292e-20	25.359	0.049	-20.846	Megacam_g
45.0	3.1897565605747676e-19	1.4966367455877392e-20	25.395	0.051	-20.846	Megacam_g
46.0	3.082801308232281e-19	1.4931875184893152e-20	25.432	0.053	-20.846	Megacam_g
47.0	2.980323427624495e-19	1.4819588432184946e-20	25.469	0.054	-20.846	Megacam_g
48.0	2.8812125537044035e-19	1.462173959437822e-20	25.505	0.055	-20.846	Megacam_g
49.0	2.7846715422675652e-19	1.4337376712384182e-20	25.542	0.056	-20.846	Megacam_g
50.0	2.690778598506066e-19	1.3975559622968833e-20	25.58	0.056	-20.846	Megacam_g
51.0	2.6002186041755504e-19	1.3554292914719588e-20	25.617	0.057	-20.846	Megacam_g
52.0	2.5139962437818415e-19	1.3098377690870877e-20	25.653	0.057	-20.846	Megacam_g
53.0	2.432414986040157e-19	1.2632684056920616e-20	25.689	0.056	-20.846	Megacam_g
54.0	2.354963739069315e-19	1.2180292458530965e-20	25.724	0.056	-20.846	Megacam_g
55.0	2.2831596755737344e-19	1.1773548912344213e-20	25.758	0.056	-20.846	Megacam_g
56.0	2.2173437917240085e-19	1.143455334020337e-20	25.79	0.056	-20.846	Megacam_g
57.0	2.1577794905196994e-19	1.1177322503450624e-20	25.819	0.056	-20.846	Megacam_g
58.0	2.1045605269556232e-19	1.1006074136084911e-20	25.846	0.057	-20.846	Megacam_g
59.0	2.0575948582672938e-19	1.0915782939161534e-20	25.871	0.058	-20.846	Megacam_g
60.0	2.0165964566809974e-19	1.089367977908181e-20	25.893	0.059	-20.846	Megacam_g
61.0	1.9811208863684669e-19	1.0921887532417378e-20	25.912	0.06	-20.846	Megacam_g
62.0	1.951190135788151e-19	1.0984126768676245e-20	25.929	0.061	-20.846	Megacam_g
63.0	1.9255520795729565e-19	1.105551557900485e-20	25.943	0.062	-20.846	Megacam_g
64.0	1.90345385118367e-19	1.1117231121584406e-20	25.955	0.063	-20.846	Megacam_g
65.0	1.884187668530669e-19	1.1154650541664096e-20	25.966	0.064	-20.846	Megacam_g
66.0	1.8670731485450131e-19	1.1157854853447342e-20	25.976	0.065	-20.846	Megacam_g
67.0	1.8514903387245454e-19	1.1121780662458547e-20	25.985	0.065	-20.846	Megacam_g
68.0	1.8368691291323456e-19	1.1045834123587475e-20	25.994	0.065	-20.846	Megacam_g
69.0	1.8227191363635202e-19	1.0933524694489746e-20	26.002	0.065	-20.846	Megacam_g
70.0	1.808602647522073e-19	1.0791692727678519e-20	26.011	0.065	-20.846	Megacam_g
71.0	1.7941547612534498e-19	1.0629894124091414e-20	26.02	0.064	-20.846	Megacam_g
72.0	1.7801604012619288e-19	1.0460623102346946e-20	26.028	0.064	-20.846	Megacam_g
73.0	1.7641184211843928e-19	1.0293912578841073e-20	26.038	0.063	-20.846	Megacam_g
74.0	1.7469180387961927e-19	1.0141939070200163e-20	26.049	0.063	-20.846	Megacam_g
75.0	1.726818758641511e-19	1.0004935894999615e-20	26.061	0.063	-20.846	Megacam_g
76.0	1.7054594611031956e-19	9.897732643533163e-21	26.075	0.063	-20.846	Megacam_g
77.0	1.6828979828832313e-19	9.822966193926466e-21	26.089	0.063	-20.846	Megacam_g
78.0	1.659264510732063e-19	9.779897527803121e-21	26.104	0.064	-20.846	Megacam_g
79.0	1.6347310169679284e-19	9.764775681003905e-21	26.121	0.065	-20.846	Megacam_g
80.0	1.6094895076928314e-19	9.771588623001884e-21	26.138	0.066	-20.846	Megacam_g
81.0	1.583712746728148e-19	9.792908403975714e-21	26.155	0.067	-20.846	Megacam_g
82.0	1.557565393449754e-19	9.821136881095996e-21	26.173	0.068	-20.846	Megacam_g
83.0	1.5311911705899088e-19	9.849371323513678e-21	26.192	0.07	-20.846	Megacam_g
