name z ra dec
SN2008gp 0.0334 50.753 1.3619
time flux flux_err zp band mag_sys
54768.241 1.9769839759637835e-16 2.367130392713999e-18 -21.373992126891217 Swope_r CSP_BD17
54772.276 3.83710027917533e-16 2.4738699728826737e-18 -21.373992126891217 Swope_r CSP_BD17
54776.236 4.938592007758066e-16 2.729166800986381e-18 -21.373992126891217 Swope_r CSP_BD17
54779.261 5.44506601263908e-16 6.018109358914212e-18 -21.373992126891217 Swope_r CSP_BD17
54781.243 5.243281193453865e-16 5.312164490346074e-18 -21.373992126891217 Swope_r CSP_BD17
54783.23 5.291796677004932e-16 4.873924857450793e-18 -21.373992126891217 Swope_r CSP_BD17
54786.344 4.795160512319963e-16 3.9748554411053894e-18 -21.373992126891217 Swope_r CSP_BD17
54790.249 3.8976527943187434e-16 3.230883799871373e-18 -21.373992126891217 Swope_r CSP_BD17
54792.18 3.397841757295199e-16 2.816575120332222e-18 -21.373992126891217 Swope_r CSP_BD17
54793.193 3.2181267789371146e-16 2.3712034395345743e-18 -21.373992126891217 Swope_r CSP_BD17
54795.224 2.905381382312712e-16 3.2111461729803285e-18 -21.373992126891217 Swope_r CSP_BD17
54801.289 2.627865596477041e-16 2.1783182935823785e-18 -21.373992126891217 Swope_r CSP_BD17
54802.214 2.5491955356815794e-16 2.113106270251455e-18 -21.373992126891217 Swope_r CSP_BD17
54803.301 2.6109776197634476e-16 1.683359480714349e-18 -21.373992126891217 Swope_r CSP_BD17
54806.222 2.290884264828372e-16 1.898984144868636e-18 -21.373992126891217 Swope_r CSP_BD17
54808.228 2.1757207278924103e-16 1.8035215612427584e-18 -21.373992126891217 Swope_r CSP_BD17
54809.19 2.0193107125770824e-16 2.0458392877573963e-18 -21.373992126891217 Swope_r CSP_BD17
54810.221 1.8672529285339158e-16 2.579705254855002e-18 -21.373992126891217 Swope_r CSP_BD17
54813.145 1.6010435644344034e-16 2.0644618650323966e-18 -21.373992126891217 Swope_r CSP_BD17
54814.177 1.5559769145769746e-16 2.0063507791867743e-18 -21.373992126891217 Swope_r CSP_BD17
54768.245 1.018705605681042e-16 1.4073938050743825e-18 -21.820878260054094 Swope_i CSP_BD17
54770.224 1.6190068862574598e-16 1.6402764935704985e-18 -21.820878260054094 Swope_i CSP_BD17
54772.28 2.089530409730549e-16 1.924528629121321e-18 -21.820878260054094 Swope_i CSP_BD17
54776.241 2.3358701451985593e-16 1.936274319181454e-18 -21.820878260054094 Swope_i CSP_BD17
54779.265 2.078015085278593e-16 2.296707148022035e-18 -21.820878260054094 Swope_i CSP_BD17
54781.247 1.9662950955693082e-16 2.535434594271707e-18 -21.820878260054094 Swope_i CSP_BD17
54783.234 2.0120959920520796e-16 3.3357760106199723e-18 -21.820878260054094 Swope_i CSP_BD17
54786.349 1.8299899134011673e-16 2.0225795975649562e-18 -21.820878260054094 Swope_i CSP_BD17
54790.254 1.3003153698449474e-16 1.437161657662087e-18 -21.820878260054094 Swope_i CSP_BD17
54792.184 1.1262860264889947e-16 1.3485520958213491e-18 -21.820878260054094 Swope_i CSP_BD17
54793.197 1.1472252470673833e-16 1.2679602010578086e-18 -21.820878260054094 Swope_i CSP_BD17
54795.229 1.0765859208178324e-16 1.5865156432655416e-18 -21.820878260054094 Swope_i CSP_BD17
54801.294 1.269546743984422e-16 1.5200844919299822e-18 -21.820878260054094 Swope_i CSP_BD17
54803.305 1.3491141457390415e-16 1.4910960579485345e-18 -21.820878260054094 Swope_i CSP_BD17
54806.227 1.335514771708025e-16 1.4760654743079571e-18 -21.820878260054094 Swope_i CSP_BD17
54808.232 1.29314938015468e-16 1.3101380537338085e-18 -21.820878260054094 Swope_i CSP_BD17
54809.195 1.2883940068774235e-16 1.423985680386635e-18 -21.820878260054094 Swope_i CSP_BD17
54810.226 1.2191262877884008e-16 1.908856571382344e-18 -21.820878260054094 Swope_i CSP_BD17
54813.15 1.0386009033028901e-16 1.3392214962086155e-18 -21.820878260054094 Swope_i CSP_BD17
54814.181 1.0038034777152474e-16 1.479259471412934e-18 -21.820878260054094 Swope_i CSP_BD17
54768.251 3.4686945441747647e-16 6.070092905670608e-18 -20.14458485692423 Swope_u CSP_BD17
54770.23 6.435259393844908e-16 9.483348703882996e-18 -20.14458485692423 Swope_u CSP_BD17
54772.286 8.981855362935884e-16 1.4890670111609846e-17 -20.14458485692423 Swope_u CSP_BD17
54776.224 1.1528320908576494e-15 1.3803368733096696e-17 -20.14458485692423 Swope_u CSP_BD17
54779.271 1.1224475523213569e-15 1.550718600985686e-17 -20.14458485692423 Swope_u CSP_BD17
54781.253 9.948693635874983e-16 1.4660936742867498e-17 -20.14458485692423 Swope_u CSP_BD17
54783.24 7.924393940753314e-16 1.7516727704631286e-17 -20.14458485692423 Swope_u CSP_BD17
54790.236 3.820903393200326e-16 6.6864459481646124e-18 -20.14458485692423 Swope_u CSP_BD17
54792.19 2.9333646718667184e-16 5.40345741260454e-18 -20.14458485692423 Swope_u CSP_BD17
54793.203 2.5619229090614077e-16 5.191160039828169e-18 -20.14458485692423 Swope_u CSP_BD17
54795.235 1.9202866259349314e-16 4.952218162252039e-18 -20.14458485692423 Swope_u CSP_BD17
54801.278 8.92413347471699e-17 4.02752103452741e-18 -20.14458485692423 Swope_u CSP_BD17
54802.225 8.305505252684132e-17 3.518840395569017e-18 -20.14458485692423 Swope_u CSP_BD17
54806.233 5.661950357043338e-17 4.536918626311305e-18 -20.14458485692423 Swope_u CSP_BD17
54768.257 2.7113846365898683e-16 2.7470052920573594e-18 -21.04202217275901 Swope_V CSP_VEGA
54770.236 3.9920054993552665e-16 2.9414183532690203e-18 -21.04202217275901 Swope_V CSP_VEGA
54772.292 5.228668772872362e-16 3.852625527238199e-18 -21.04202217275901 Swope_V CSP_VEGA
54776.211 6.766921382170813e-16 3.7395389520118026e-18 -21.04202217275901 Swope_V CSP_VEGA
54779.277 7.284355471274802e-16 6.038225395281711e-18 -21.04202217275901 Swope_V CSP_VEGA
54781.259 7.204289077626192e-16 7.298934999735233e-18 -21.04202217275901 Swope_V CSP_VEGA
54783.246 7.014409735403099e-16 7.106561128872253e-18 -21.04202217275901 Swope_V CSP_VEGA
54786.328 6.468314545317092e-16 5.361784073583729e-18 -21.04202217275901 Swope_V CSP_VEGA
54790.224 5.335696652466962e-16 4.422922406175116e-18 -21.04202217275901 Swope_V CSP_VEGA
54792.196 4.768602596261346e-16 3.952840770923068e-18 -21.04202217275901 Swope_V CSP_VEGA
54793.209 4.470860620382765e-16 3.706033326245087e-18 -21.04202217275901 Swope_V CSP_VEGA
54795.241 3.980990405453219e-16 4.033290431697518e-18 -21.04202217275901 Swope_V CSP_VEGA
54801.264 2.769434709208356e-16 2.550743630977384e-18 -21.04202217275901 Swope_V CSP_VEGA
